name,split,netTime
Kristian Høgenhaug,BIKE7,02:52:02.379
Mattia Ceccarelli,BIKE7,02:52:26.379
Wilhelm Hirsch,BIKE7,02:52:51.379
Andrea Salvisberg,BIKE7,02:53:05.379
Jason West,BIKE7,02:54:01.379
Jonas Hoffmann,BIKE7,02:54:03.379
Kacper Stepniak,BIKE7,02:54:04.379
Mathias Lyngsø Petersen,BIKE7,02:54:05.379
Dylan Magnien,BIKE7,02:54:09.379
Cameron Wurf,BIKE7,02:54:35.379
Luciano Taccone,BIKE7,02:54:37.379
Matthew Marquardt,BIKE7,02:54:40.379
Sam Long,BIKE7,02:55:31.379
Leon Chevalier,BIKE7,02:55:32.379
Ben Hill,BIKE7,02:55:36.379
Finn Große-Freese,BIKE7,02:55:38.379
Bradley Weiss,BIKE7,02:55:41.379
Harry Palmer,BIKE7,02:56:45.379
Joe Skipper,BIKE7,02:56:52.379
Henrik Goesch,BIKE7,02:56:55.379
Jordi Montraveta Moya,BIKE7,02:57:01.379
Fernando Toldi,BIKE7,02:57:03.379
Filipe Azevedo,BIKE7,02:57:03.379
Daniel Bækkegård,BIKE7,02:57:04.379
Patrick Lange,BIKE7,02:57:05.379
Benjamin Zorgnotti,BIKE7,02:57:07.379
Kieran Lindars,BIKE7,02:57:13.379
Andre Lopes,BIKE7,02:57:35.379
Dominik Sowieja,BIKE7,02:59:23.379
Kristian Grue,BIKE7,03:00:22.379
Jon Saeveras Breivold,BIKE7,03:01:28.379
Chris Leiferman,BIKE7,03:02:56.379
Dario Giovine,BIKE7,03:03:04.379
Bart Aernouts,BIKE7,03:06:23.379
Jack Moody,BIKE7,03:07:10.379
Matt Hanson,BIKE7,03:08:32.379
Zachary Cooper,BIKE7,03:09:00.379
Jonas Schomburg,BIKE8,03:06:47.379
Jamie Riddle,BIKE8,03:06:48.379
Marten Van Riel,BIKE8,03:06:50.379
Kristian Blummenfelt,BIKE8,03:08:43.379
Sam Laidlow,BIKE8,03:08:46.379
Casper Stornes,BIKE8,03:08:50.379
Nick Thompson,BIKE8,03:08:50.379
Gustav Iden,BIKE8,03:08:53.379
Magnus Ditlev,BIKE8,03:08:55.379
Rudy Von Berg,BIKE8,03:11:30.379
Antonio Benito,BIKE8,03:11:32.379
Paul Schuster,BIKE8,03:13:54.379
Jan Stratmann,BIKE8,03:13:55.379
Nathan Guerbeur,BIKE8,03:13:57.379
Federico Scarabino,BIKE8,03:13:57.379
Sven Thalmann,BIKE8,03:14:00.379
Kristian Høgenhaug,BIKE8,03:14:43.379
Wilhelm Hirsch,BIKE8,03:16:18.379
Matthew Marquardt,BIKE8,03:16:30.379
Luciano Taccone,BIKE8,03:16:34.379
Mattia Ceccarelli,BIKE8,03:16:39.379
Cameron Wurf,BIKE8,03:16:41.379
Mathias Lyngsø Petersen,BIKE8,03:16:43.379
Jason West,BIKE8,03:16:51.379
Jonas Hoffmann,BIKE8,03:17:01.379
Kacper Stepniak,BIKE8,03:17:03.379
Dylan Magnien,BIKE8,03:17:04.379
Andrea Salvisberg,BIKE8,03:17:50.379
Ben Hill,BIKE8,03:18:06.379
Leon Chevalier,BIKE8,03:18:06.379
Sam Long,BIKE8,03:18:08.379
Harry Palmer,BIKE8,03:19:32.379
Joe Skipper,BIKE8,03:19:33.379
Henrik Goesch,BIKE8,03:19:35.379
Finn Große-Freese,BIKE8,03:19:37.379
Bradley Weiss,BIKE8,03:19:48.379
Benjamin Zorgnotti,BIKE8,03:20:12.379
Patrick Lange,BIKE8,03:20:20.379
Jordi Montraveta Moya,BIKE8,03:20:21.379
Filipe Azevedo,BIKE8,03:20:25.379
Fernando Toldi,BIKE8,03:20:25.379
Daniel Bækkegård,BIKE8,03:20:29.379
Andre Lopes,BIKE8,03:22:21.379
Dominik Sowieja,BIKE8,03:22:24.379
Kristian Grue,BIKE8,03:23:42.379
Jon Saeveras Breivold,BIKE8,03:23:48.379
Dario Giovine,BIKE8,03:26:20.379
Chris Leiferman,BIKE8,03:26:23.379
Bart Aernouts,BIKE8,03:30:45.379
Jack Moody,BIKE8,03:32:21.379
Matt Hanson,BIKE8,03:32:55.379
Zachary Cooper,BIKE8,03:36:56.379
Marten Van Riel,BIKE9,03:17:39.379
Jonas Schomburg,BIKE9,03:17:41.379
Jamie Riddle,BIKE9,03:17:43.379
Nick Thompson,BIKE9,03:19:50.379
Kristian Blummenfelt,BIKE9,03:19:54.379
Sam Laidlow,BIKE9,03:19:58.379
Casper Stornes,BIKE9,03:20:00.379
Magnus Ditlev,BIKE9,03:20:02.379
Gustav Iden,BIKE9,03:20:03.379
Rudy Von Berg,BIKE9,03:22:48.379
Antonio Benito,BIKE9,03:22:51.379
Sven Thalmann,BIKE9,03:25:11.379
Paul Schuster,BIKE9,03:25:14.379
Nathan Guerbeur,BIKE9,03:25:16.379
Jan Stratmann,BIKE9,03:25:16.379
Federico Scarabino,BIKE9,03:25:20.379
Kristian Høgenhaug,BIKE9,03:25:47.379
Matthew Marquardt,BIKE9,03:27:03.379
Cameron Wurf,BIKE9,03:27:06.379
Luciano Taccone,BIKE9,03:27:34.379
Wilhelm Hirsch,BIKE9,03:27:36.379
Mathias Lyngsø Petersen,BIKE9,03:27:52.379
Dylan Magnien,BIKE9,03:28:21.379
Jonas Hoffmann,BIKE9,03:28:26.379
Jason West,BIKE9,03:28:27.379
Kacper Stepniak,BIKE9,03:28:30.379
Mattia Ceccarelli,BIKE9,03:28:34.379
Ben Hill,BIKE9,03:29:07.379
Sam Long,BIKE9,03:29:18.379
Leon Chevalier,BIKE9,03:29:23.379
Andrea Salvisberg,BIKE9,03:29:50.379
Harry Palmer,BIKE9,03:30:47.379
Henrik Goesch,BIKE9,03:30:49.379
Joe Skipper,BIKE9,03:30:50.379
Finn Große-Freese,BIKE9,03:30:52.379
Patrick Lange,BIKE9,03:31:33.379
Jordi Montraveta Moya,BIKE9,03:31:45.379
Fernando Toldi,BIKE9,03:31:48.379
Filipe Azevedo,BIKE9,03:31:49.379
Benjamin Zorgnotti,BIKE9,03:31:52.379
Bradley Weiss,BIKE9,03:32:14.379
Dominik Sowieja,BIKE9,03:33:38.379
Andre Lopes,BIKE9,03:33:56.379
Kristian Grue,BIKE9,03:34:41.379
Jon Saeveras Breivold,BIKE9,03:34:44.379
Daniel Bækkegård,BIKE9,03:35:21.379
Dario Giovine,BIKE9,03:38:06.379
Chris Leiferman,BIKE9,03:38:08.379
Bart Aernouts,BIKE9,03:42:51.379
Jack Moody,BIKE9,03:44:27.379
Matt Hanson,BIKE9,03:44:54.379
Zachary Cooper,BIKE9,03:50:47.379
Jamie Riddle,BIKE10,03:25:06.163
Marten Van Riel,BIKE10,03:25:07.769
Jonas Schomburg,BIKE10,03:25:09.468
Kristian Blummenfelt,BIKE10,03:27:15.632
Sam Laidlow,BIKE10,03:27:18.929
Nick Thompson,BIKE10,03:27:20.417
Casper Stornes,BIKE10,03:27:22.675
Magnus Ditlev,BIKE10,03:27:23.632
Gustav Iden,BIKE10,03:27:26.491
Antonio Benito,BIKE10,03:30:17.226
